agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va,year_month
USGS,8481500,60,100069,1967,7,6.14,1967-07-15
USGS,8481500,60,100069,1967,8,15.5,1967-08-15
USGS,8481500,60,100069,1967,9,8.1,1967-09-15
USGS,8481500,60,100069,1967,10,7.9,1967-10-15
USGS,8481500,60,100069,1967,11,9.39,1967-11-15
USGS,8481500,60,100069,1967,12,9.71,1967-12-15
USGS,8481500,60,100069,1968,1,9.85,1968-01-15
USGS,8481500,60,100069,1968,2,11.7,1968-02-15
USGS,8481500,60,100069,1968,3,10.7,1968-03-15
USGS,8481500,60,100069,1968,4,9.23,1968-04-15
USGS,8481500,60,100069,1968,5,7.6,1968-05-15
USGS,8481500,60,100069,1968,6,6.66,1968-06-15
USGS,8481500,60,100069,1968,7,7.6,1968-07-15
USGS,8481500,60,100069,1968,8,9.57,1968-08-15
USGS,8481500,60,100069,1968,9,10.1,1968-09-15
USGS,8481500,60,100069,1968,10,8.67,1968-10-15
USGS,8481500,60,100069,1968,11,10.3,1968-11-15
USGS,8481500,60,100069,1968,12,10.2,1968-12-15
USGS,8481500,60,100069,1969,1,10.9,1969-01-15
USGS,8481500,60,100069,1969,2,10.7,1969-02-15
USGS,8481500,60,100069,1969,3,10.3,1969-03-15
USGS,8481500,60,100069,1969,4,9.08,1969-04-15
USGS,8481500,60,100069,1969,5,7.91,1969-05-15
USGS,8481500,60,100069,1969,6,5.86,1969-06-15
USGS,8481500,60,100069,1969,7,6.44,1969-07-15
USGS,8481500,60,100069,1969,8,6.41,1969-08-15
USGS,8481500,60,100069,1969,9,7.72,1969-09-15
USGS,8481500,60,100069,1969,10,10.9,1969-10-15
USGS,8481500,60,100069,1969,11,9.44,1969-11-15
USGS,8481500,60,100069,1969,12,11.1,1969-12-15
USGS,8481500,60,100069,1970,1,12.8,1970-01-15
USGS,8481500,60,100069,1970,2,11.7,1970-02-15
USGS,8481500,60,100069,1970,3,11.4,1970-03-15
USGS,8481500,60,100069,1970,4,7.74,1970-04-15
USGS,8481500,60,100069,1970,5,7.16,1970-05-15
USGS,8481500,60,100069,1970,6,5.34,1970-06-15
USGS,8481500,60,100069,1970,7,7.05,1970-07-15
USGS,8481500,60,100069,1970,8,4.94,1970-08-15
USGS,8481500,60,100069,1970,9,7.59,1970-09-15
USGS,8481500,60,100069,1970,10,8.42,1970-10-15
USGS,8481500,60,100069,1970,11,7.68,1970-11-15
USGS,8481500,60,100069,1970,12,6.91,1970-12-15
USGS,8481500,60,100069,1971,1,8.36,1971-01-15
USGS,8481500,60,100069,1971,2,9.52,1971-02-15
USGS,8481500,60,100069,1971,3,8.16,1971-03-15
USGS,8481500,60,100069,1971,4,7.87,1971-04-15
USGS,8481500,60,100069,1971,5,7.6,1971-05-15
USGS,8481500,60,100069,1971,6,7.5,1971-06-15
USGS,8481500,60,100069,1971,7,7.85,1971-07-15
USGS,8481500,60,100069,1971,8,11.1,1971-08-15
USGS,8481500,60,100069,1971,9,8.09,1971-09-15
USGS,8481500,60,100069,1971,10,9.05,1971-10-15
USGS,8481500,60,100069,1971,11,10.3,1971-11-15
USGS,8481500,60,100069,1971,12,9.05,1971-12-15
USGS,8481500,60,100069,1972,1,8.8,1972-01-15
USGS,8481500,60,100069,1972,2,10.2,1972-02-15
USGS,8481500,60,100069,1972,3,8.44,1972-03-15
USGS,8481500,60,100069,1972,4,10.2,1972-04-15
USGS,8481500,60,100069,1972,5,11.2,1972-05-15
USGS,8481500,60,100069,1972,6,7.53,1972-06-15
USGS,8481500,60,100069,1972,7,6.46,1972-07-15
USGS,8481500,60,100069,1972,8,10.8,1972-08-15
USGS,8481500,60,100069,1972,9,11,1972-09-15
USGS,8481500,60,100069,1972,10,8.93,1972-10-15
USGS,8481500,60,100069,1972,11,10.4,1972-11-15
USGS,8481500,60,100069,1972,12,10.3,1972-12-15
USGS,8481500,60,100069,1973,1,10.6,1973-01-15
USGS,8481500,60,100069,1973,2,9.79,1973-02-15
USGS,8481500,60,100069,1973,3,9.66,1973-03-15
USGS,8481500,60,100069,1973,4,8.81,1973-04-15
USGS,8481500,60,100069,1973,5,8.72,1973-05-15
USGS,8481500,60,100069,1973,6,7.79,1973-06-15
USGS,8481500,60,100069,1973,7,7.84,1973-07-15
USGS,8481500,60,100069,1973,8,10.9,1973-08-15
USGS,8481500,60,100069,1973,9,7.3,1973-09-15
USGS,8481500,60,100069,1973,10,9.25,1973-10-15
USGS,8481500,60,100069,1973,11,10.4,1973-11-15
USGS,8481500,60,100069,1973,12,10.8,1973-12-15
USGS,8481500,60,100069,1974,1,11.9,1974-01-15
USGS,8481500,60,100069,1974,2,11.4,1974-02-15
USGS,8481500,60,100069,1974,3,10.1,1974-03-15
USGS,8481500,60,100069,1974,4,9.96,1974-04-15
USGS,8481500,60,100069,1974,5,8.92,1974-05-15
USGS,8481500,60,100069,1974,6,8.12,1974-06-15
USGS,8481500,60,100069,1974,7,15.8,1974-07-15
USGS,8481500,60,100069,1974,8,13.3,1974-08-15
USGS,8481500,60,100069,1974,9,11,1974-09-15
USGS,8481500,60,100069,1974,10,9.33,1974-10-15
USGS,8481500,60,100069,1974,11,11.7,1974-11-15
USGS,8481500,60,100069,1974,12,11.6,1974-12-15
USGS,8481500,60,100069,1975,1,11.9,1975-01-15
USGS,8481500,60,100069,1975,2,12,1975-02-15
USGS,8481500,60,100069,1975,3,13.5,1975-03-15
USGS,8481500,60,100069,1975,4,11.1,1975-04-15
USGS,8481500,60,100069,1975,5,10.9,1975-05-15
USGS,8481500,60,100069,1975,6,7.03,1975-06-15
USGS,8481500,60,100069,1975,7,8.89,1975-07-15
USGS,8481500,60,100069,1975,8,9.15,1975-08-15
USGS,8481500,60,100069,1975,9,13.2,1975-09-15
USGS,8481500,60,100069,1975,10,11,1975-10-15
USGS,8481500,60,100069,1975,11,11.3,1975-11-15
USGS,8481500,60,100069,1975,12,11.2,1975-12-15
USGS,8481500,60,100069,1976,1,11.7,1976-01-15
USGS,8481500,60,100069,1976,2,12.3,1976-02-15
USGS,8481500,60,100069,1976,3,9.66,1976-03-15
USGS,8481500,60,100069,1976,4,13,1976-04-15
USGS,8481500,60,100069,1976,5,10.1,1976-05-15
USGS,8481500,60,100069,1976,6,7.71,1976-06-15
USGS,8481500,60,100069,1976,7,11.6,1976-07-15
USGS,8481500,60,100069,1976,8,10.1,1976-08-15
USGS,8481500,60,100069,1976,9,12.2,1976-09-15
USGS,8481500,60,100069,1976,10,11,1976-10-15
USGS,8481500,60,100069,1976,11,12.3,1976-11-15
USGS,8481500,60,100069,1976,12,10.5,1976-12-15
USGS,8481500,60,100069,1977,1,12,1977-01-15
USGS,8481500,60,100069,1977,2,12.9,1977-02-15
USGS,8481500,60,100069,1977,3,11.8,1977-03-15
USGS,8481500,60,100069,1977,4,11.1,1977-04-15
USGS,8481500,60,100069,1977,5,9.9,1977-05-15
USGS,8481500,60,100069,1977,6,8.51,1977-06-15
USGS,8481500,60,100069,1977,7,12.5,1977-07-15
USGS,8481500,60,100069,1977,8,10.3,1977-08-15
USGS,8481500,60,100069,1977,9,11.8,1977-09-15
USGS,8481500,60,100069,1977,10,11.1,1977-10-15
USGS,8481500,60,100069,1977,11,12,1977-11-15
USGS,8481500,60,100069,1977,12,12.8,1977-12-15
USGS,8481500,60,100069,1978,1,13.6,1978-01-15
USGS,8481500,60,100069,1978,2,12.8,1978-02-15
USGS,8481500,60,100069,1978,3,11.6,1978-03-15
USGS,8481500,60,100069,1978,4,10.8,1978-04-15
USGS,8481500,60,100069,1978,5,10.3,1978-05-15
USGS,8481500,60,100069,1978,6,7.98,1978-06-15
USGS,8481500,60,100069,1978,7,12.2,1978-07-15
USGS,8481500,60,100069,1978,8,10.3,1978-08-15
USGS,8481500,60,100069,1978,9,12.6,1978-09-15
USGS,8481500,60,100069,1978,10,10.2,1978-10-15
USGS,8481500,60,100069,1978,11,14.4,1978-11-15
USGS,8481500,60,100069,1978,12,15.6,1978-12-15
USGS,8481500,60,100069,1979,1,16.7,1979-01-15
USGS,8481500,60,100069,1979,2,13.7,1979-02-15
USGS,8481500,60,100069,1979,3,13.8,1979-03-15
USGS,8481500,60,100069,1979,4,15.5,1979-04-15
USGS,8481500,60,100069,1979,5,15.1,1979-05-15
USGS,8481500,60,100069,1979,6,12.8,1979-06-15
USGS,8481500,60,100069,1979,7,10.7,1979-07-15
USGS,8481500,60,100069,1979,8,13.3,1979-08-15
USGS,8481500,60,100069,1979,9,14.8,1979-09-15
USGS,8481500,60,100069,1979,10,13.7,1979-10-15
USGS,8481500,60,100069,1979,11,13.5,1979-11-15
USGS,8481500,60,100069,1979,12,14.7,1979-12-15
USGS,8481500,60,100069,1980,1,13.1,1980-01-15
USGS,8481500,60,100069,1980,2,14.8,1980-02-15
USGS,8481500,60,100069,1980,3,14.7,1980-03-15
USGS,8481500,60,100069,1980,4,14.7,1980-04-15
USGS,8481500,60,100069,1980,5,14,1980-05-15
USGS,8481500,60,100069,1980,6,9.33,1980-06-15
USGS,8481500,60,100069,1980,7,11.3,1980-07-15
USGS,8481500,60,100069,1980,8,34.5,1980-08-15
USGS,8481500,60,100069,1980,9,11.5,1980-09-15
USGS,8481500,60,100069,1980,10,12.7,1980-10-15
USGS,8481500,60,100069,1980,11,14.4,1980-11-15
USGS,8481500,60,100069,1980,12,13.8,1980-12-15
USGS,8481500,60,100069,1981,1,14.2,1981-01-15
USGS,8481500,60,100069,1981,2,14.5,1981-02-15
USGS,8481500,60,100069,1981,3,14.6,1981-03-15
USGS,8481500,60,100069,1981,4,12.5,1981-04-15
USGS,8481500,60,100069,1981,5,11,1981-05-15
USGS,8481500,60,100069,1981,6,10.2,1981-06-15
USGS,8481500,60,100069,1981,7,11.7,1981-07-15
USGS,8481500,60,100069,1981,8,15.1,1981-08-15
USGS,8481500,60,100069,1981,9,11.2,1981-09-15
USGS,8481500,60,100069,1981,10,11.3,1981-10-15
USGS,8481500,60,100069,1981,11,14.3,1981-11-15
USGS,8481500,60,100069,1981,12,14.7,1981-12-15
USGS,8481500,60,100069,1982,1,14.8,1982-01-15
USGS,8481500,60,100069,1982,2,15.8,1982-02-15
USGS,8481500,60,100069,1982,3,11.4,1982-03-15
USGS,8481500,60,100069,1982,4,9.7,1982-04-15
USGS,8481500,60,100069,1982,5,11.6,1982-05-15
USGS,8481500,60,100069,1982,6,12.5,1982-06-15
USGS,8481500,60,100069,1982,7,12.9,1982-07-15
USGS,8481500,60,100069,1982,8,11.2,1982-08-15
USGS,8481500,60,100069,1982,9,12.9,1982-09-15
USGS,8481500,60,100069,1982,10,12.7,1982-10-15
USGS,8481500,60,100069,1982,11,13.5,1982-11-15
USGS,8481500,60,100069,1982,12,14.2,1982-12-15
USGS,8481500,60,100069,1983,1,13.4,1983-01-15
USGS,8481500,60,100069,1983,2,14,1983-02-15
USGS,8481500,60,100069,1983,3,16.2,1983-03-15
USGS,8481500,60,100069,1983,4,14.6,1983-04-15
USGS,8481500,60,100069,1983,5,13.5,1983-05-15
USGS,8481500,60,100069,1983,6,13.5,1983-06-15
USGS,8481500,60,100069,1983,7,8.33,1983-07-15
USGS,8481500,60,100069,1983,8,11.8,1983-08-15
USGS,8481500,60,100069,1983,9,13.1,1983-09-15
USGS,8481500,60,100069,1983,10,15.7,1983-10-15
USGS,8481500,60,100069,1983,11,15.8,1983-11-15
USGS,8481500,60,100069,1983,12,15.7,1983-12-15
USGS,8481500,60,100069,1984,1,15.3,1984-01-15
USGS,8481500,60,100069,1984,2,14.4,1984-02-15
USGS,8481500,60,100069,1984,3,13.9,1984-03-15
USGS,8481500,60,100069,1984,4,15.6,1984-04-15
USGS,8481500,60,100069,1984,5,12.7,1984-05-15
USGS,8481500,60,100069,1984,6,13.4,1984-06-15
USGS,8481500,60,100069,1984,7,11.3,1984-07-15
USGS,8481500,60,100069,1984,8,17.1,1984-08-15
USGS,8481500,60,100069,1984,9,14.8,1984-09-15
USGS,8481500,60,100069,1984,10,15.8,1984-10-15
USGS,8481500,60,100069,1984,11,16.9,1984-11-15
USGS,8481500,60,100069,1984,12,17.9,1984-12-15
USGS,8481500,60,100069,1985,1,19.7,1985-01-15
USGS,8481500,60,100069,1985,2,19.8,1985-02-15
USGS,8481500,60,100069,1985,3,19.3,1985-03-15
USGS,8481500,60,100069,1985,4,22.1,1985-04-15
USGS,8481500,60,100069,1985,5,20,1985-05-15
USGS,8481500,60,100069,1985,6,18.2,1985-06-15
USGS,8481500,60,100069,1985,7,18.3,1985-07-15
USGS,8481500,60,100069,1985,8,22.8,1985-08-15
USGS,8481500,60,100069,1985,9,21.2,1985-09-15
USGS,8481500,60,100069,1985,10,23.4,1985-10-15
USGS,8481500,60,100069,1985,11,21.5,1985-11-15
USGS,8481500,60,100069,1985,12,21.9,1985-12-15
USGS,8481500,60,100069,1986,1,21.9,1986-01-15
USGS,8481500,60,100069,1986,2,21.6,1986-02-15
USGS,8481500,60,100069,1986,3,21.1,1986-03-15
USGS,8481500,60,100069,1986,4,17.7,1986-04-15
USGS,8481500,60,100069,1986,5,17.2,1986-05-15
USGS,8481500,60,100069,1986,6,20.7,1986-06-15
USGS,8481500,60,100069,1986,7,22.3,1986-07-15
USGS,8481500,60,100069,1986,8,19.2,1986-08-15
USGS,8481500,60,100069,1986,9,20.3,1986-09-15
USGS,8481500,60,100069,1986,10,23.7,1986-10-15
USGS,8481500,60,100069,1986,11,23.7,1986-11-15
USGS,8481500,60,100069,1986,12,23.7,1986-12-15
USGS,8481500,60,100069,1987,1,23.5,1987-01-15
USGS,8481500,60,100069,1987,2,23.3,1987-02-15
USGS,8481500,60,100069,1987,3,23.5,1987-03-15
USGS,8481500,60,100069,1987,4,24,1987-04-15
USGS,8481500,60,100069,1987,5,22.2,1987-05-15
USGS,8481500,60,100069,1987,6,20.2,1987-06-15
USGS,8481500,60,100069,1987,7,23.4,1987-07-15
USGS,8481500,60,100069,1987,8,25.9,1987-08-15
USGS,8481500,60,100069,1987,9,19,1987-09-15
USGS,8481500,60,100069,1987,10,18.5,1987-10-15
